scenario,x_exp,x_priv,x_mnt,x_run_state,x_run,base,S,C,R,severity
A,0.0,0.0,0.0,never,0.0,9.0,0.0,0.5,4.5,Medium
A,0.0,0.0,0.0,inconclusive,0.5,9.0,0.125,0.625,5.625,Medium
A,0.0,0.0,0.0,observed,1.0,9.0,0.25,0.75,6.75,Medium
B,1.0,1.0,1.0,never,0.0,9.0,0.75,1.25,10.0,Critical
B,1.0,1.0,1.0,inconclusive,0.5,9.0,0.875,1.375,10.0,Critical
B,1.0,1.0,1.0,observed,1.0,9.0,1.0,1.5,10.0,Critical
C,1.0,0.25,0.0,never,0.0,9.0,0.45,0.95,8.55,High
C,1.0,0.25,0.0,inconclusive,0.5,9.0,0.575,1.075,9.675,Critical
C,1.0,0.25,0.0,observed,1.0,9.0,0.7,1.2,10.0,Critical
D,0.25,0.5,0.25,never,0.0,9.0,0.2375,0.7375,6.6375,Medium
D,0.25,0.5,0.25,inconclusive,0.5,9.0,0.3625,0.8625,7.7625,High
D,0.25,0.5,0.25,observed,1.0,9.0,0.4875,0.9875,8.8875,High
E,1.0,0.0,0.0,never,0.0,9.0,0.4,0.9,8.1,High
E,1.0,0.0,0.0,inconclusive,0.5,9.0,0.525,1.025,9.225,Critical
E,1.0,0.0,0.0,observed,1.0,9.0,0.65,1.15,10.0,Critical
F,1.0,0.5,0.0,never,0.0,9.0,0.5,1.0,9.0,Critical
F,1.0,0.5,0.0,inconclusive,0.5,9.0,0.625,1.125,10.0,Critical
F,1.0,0.5,0.0,observed,1.0,9.0,0.75,1.25,10.0,Critical
G,0.25,0.25,0.25,never,0.0,9.0,0.1875,0.6875,6.1875,Medium
G,0.25,0.25,0.25,inconclusive,0.5,9.0,0.3125,0.8125,7.3125,High
G,0.25,0.25,0.25,observed,1.0,9.0,0.4375,0.9375,8.4375,High
H,0.25,0.5,0.75,never,0.0,9.0,0.3125,0.8125,7.3125,High
H,0.25,0.5,0.75,inconclusive,0.5,9.0,0.4375,0.9375,8.4375,High
H,0.25,0.5,0.75,observed,1.0,9.0,0.5625,1.0625,9.5625,Critical
