cve,package,base,x_run_none,R_no_runtime,x_run_synth,R_synthetic,x_run_real,R_real_runtime,loaded_at_runtime
CVE-2025-15467,libcrypto3,9.8,0.5,8.453,0.5,8.453,0.0,7.228,False
CVE-2026-31789,libcrypto3,9.8,0.5,8.453,0.5,8.453,0.0,7.228,False
CVE-2025-15467,libssl3,9.8,0.5,8.453,0.5,8.453,0.0,7.228,False
CVE-2026-31789,libssl3,9.8,0.5,8.453,0.5,8.453,0.0,7.228,False
CVE-2026-28387,libcrypto3,8.1,0.5,6.986,0.5,6.986,0.0,5.974,False
CVE-2026-28387,libssl3,8.1,0.5,6.986,0.5,6.986,0.0,5.974,False
CVE-2026-25210,libexpat,7.8,0.5,6.728,0.5,6.728,0.0,5.753,False
CVE-2026-40200,musl,7.8,0.5,6.728,0.0,5.753,0.5,6.728,True
CVE-2026-40200,musl-utils,7.8,0.5,6.728,0.0,5.753,0.0,5.753,False
CVE-2026-22184,zlib,7.8,0.5,6.728,0.0,5.753,0.0,5.753,False
CVE-2025-69421,libcrypto3,7.5,0.5,6.469,0.5,6.469,0.0,5.531,False
CVE-2026-28388,libcrypto3,7.5,0.5,6.469,0.5,6.469,0.0,5.531,False
CVE-2026-28389,libcrypto3,7.5,0.5,6.469,0.5,6.469,0.0,5.531,False
CVE-2026-28390,libcrypto3,7.5,0.5,6.469,0.5,6.469,0.0,5.531,False
CVE-2025-69421,libssl3,7.5,0.5,6.469,0.5,6.469,0.0,5.531,False
CVE-2026-28388,libssl3,7.5,0.5,6.469,0.5,6.469,0.0,5.531,False
CVE-2026-28389,libssl3,7.5,0.5,6.469,0.5,6.469,0.0,5.531,False
CVE-2026-28390,libssl3,7.5,0.5,6.469,0.5,6.469,0.0,5.531,False
CVE-2025-69419,libcrypto3,7.4,0.5,6.383,0.5,6.383,0.0,5.458,False
CVE-2025-69419,libssl3,7.4,0.5,6.383,0.5,6.383,0.0,5.458,False
